pid_key;x;y;z;class;step
-1:14.276:15.517:0.842;14.275862;15.517241;0.841632;-1;0
-1:15.034:15.517:0.847;15.034483;15.517241;0.847073;-1;0
-1:15.793:15.517:0.818;15.793103;15.517241;0.818025;-1;0
-1:14.897:15.586:0.963;14.896552;15.586207;0.96288;-1;0
-1:15.655:15.586:0.778;15.655172;15.586207;0.778328;-1;0
-1:14.828:15.655:0.969;14.827586;15.655172;0.968776;-1;0
-1:15.586:15.655:0.867;15.586207;15.655172;0.86743;-1;0
-1:14.897:15.724:0.854;14.896552;15.724138;0.853787;-1;0
-1:15.655:15.724:0.986;15.655172;15.724138;0.986053;-1;0
-1:15.103:15.793:0.862;15.103448;15.793103;0.861545;-1;0
-1:14.759:15.862:0.781;14.758621;15.862069;0.780563;-1;0
-1:14.690:15.931:0.960;14.689655;15.931034;0.960294;-1;0
-1:30.800:30.000:1.234;30.8;30;1.23354;-1;0
-1:29.242:30.255:1.573;29.241877;30.255441;1.572764;-1;0
-1:30.637:29.516:1.736;30.636874;29.515861;1.736262;-1;0
-1:29.682:30.798:1.530;29.682192;30.797639;1.530074;-1;0
-1:30.046:29.143:1.238;30.046485;29.142639;1.237557;-1;0
-1:30.430:30.810:1.298;30.429644;30.810394;1.297507;-1;0
-1:29.334:29.369:1.593;29.334087;29.369214;1.592789;-1;0
-1:30.953:30.210:1.230;30.953047;30.209781;1.230312;-1;0
-1:29.030:30.106:1.271;29.029858;30.105509;1.270899;-1;0
-1:30.886:29.590:1.315;30.885668;29.590246;1.315427;-1;0
-1:29.419:30.856:1.120;29.419462;30.85623;1.120052;-1;0
-1:30.277:29.003:1.411;30.276753;29.003224;1.410807;-1;0
-1:30.292:31.053:1.122;30.292436;31.05326;1.121656;-1;0
-1:29.387:29.095:1.248;29.386564;29.09525;1.248012;-1;0
-1:31.045:30.484:1.070;31.045277;30.483596;1.069834;-1;0
-1:28.855:29.875:1.330;28.855027;29.875477;1.330141;-1;0
-1:31.125:29.752:1.111;31.124797;29.752413;1.111424;-1;0
-1:29.121:30.832:0.955;29.121295;30.832353;0.95544;-1;0
-1:30.567:28.931:1.120;30.566936;28.930646;1.11966;-1;0
